date,rating,review
2019.04.24. 10:30,"별점(10점 만점 중)
10",즐거웠고 행복했다. 어벤져스 영원하라.
2020.05.07. 17:01,"별점(10점 만점 중)
9",이전 시리즈들을 안본 상태로 봤지만 재미있었음
2019.04.24. 19:33,"별점(10점 만점 중)
10",존잼이에요 스포하고 싶어 미치겟네요 ㅠㅠ 또 보러 갈거예요
2019.04.24. 13:08,"별점(10점 만점 중)
10",여운이많이남네요. 좋은영화입니다
2020.04.07. 20:03,"별점(10점 만점 중)
10",내 안의 마블 유니버스는 이 시점을 기해 완결을 맺었다. 이후의 마블은 더이상 내게 흥미가 일지 않을 것 같다.
2019.04.24. 22:27,"별점(10점 만점 중)
10",3000만큼 사랑해..
2020.05.06. 20:27,"별점(10점 만점 중)
8",다시 봐도 좋았어요 다시 영화관에서 볼 수 있음에 감사
2019.11.10. 14:37,"별점(10점 만점 중)
10",Avengers Assemble!
2019.08.19. 15:15,"별점(10점 만점 중)
10","엔드게임, 오래 기억될 명작"
2019.06.19. 12:05,"별점(10점 만점 중)
10",마블팬이라면 꼭 봐야할 영화
2019.12.19. 17:23,"별점(10점 만점 중)
8",팬들과 함께 추억의 앨범을 하나하나 넘긴 끝에 전하는 우정 가득한 송사.
2019.09.14. 22:27,"별점(10점 만점 중)
10",최고더이상 무슨말이 필요할까요
2019.08.12. 21:24,"별점(10점 만점 중)
10",인생영화 2번봐도 안아깝습니다
2019.07.07. 03:07,"별점(10점 만점 중)
10","11년 간 즐거웠어요, 토니."
2019.05.19. 21:19,"별점(10점 만점 중)
10","흠 잡을 데 없는 완벽한 영화는 아니었지만, 흠 잡고 싶지 않을 만큼 감동적인 영화였습니다."
2019.05.15. 07:39,"별점(10점 만점 중)
10",너무 제미가 있었고 마지막 장면은 마음이 짠
2019.11.19. 01:06,"별점(10점 만점 중)
10",히어로들의 재결합 과정들이 너무 인상깊었다.
2019.06.19. 10:54,"별점(10점 만점 중)
10",재밌었어요재밌는데재밌엇어요
2019.06.13. 14:27,"별점(10점 만점 중)
9",해피앤딩인지 새드앤딩인지...
2019.06.02. 05:19,"별점(10점 만점 중)
10",나의 어벤져스 나의 아이언맨 잘가요 그동안 정말 고마웠어요ㅜㅜ
2019.05.31. 14:14,"별점(10점 만점 중)
10",최고의 결말 마블을 인정하게 만들었다
2019.05.25. 03:26,"별점(10점 만점 중)
10",무슨말이필요할까요..
2019.05.19. 11:08,"별점(10점 만점 중)
10",감동입니다...눈물이 줄줄났어요 ㅠㅠㅠㅠ
2019.06.19. 03:09,"별점(10점 만점 중)
10",마블 3000만큼 사랑합니다
